question_code,related_question_code,rule,error_message,operator,constant,set_operator,set,conditional_operator,conditional_constant,conditional_set_operator,conditional_set
HomeDate,PROMDATE,comparison,HomeDate must be greater than PROMDATE,>,,,,,,,
HomeDate,DOB,comparison,HomeDate must be greater than DOB,>,,,,,,,
HomeDate,DOA,comparison,HomeDate must be greater than or equal to DOA,>=,,,,,,,
SurfDate,HomeDate,comparison,SurfDate must be less than or equal to HomeDate,<=,,,,,,,
ALDate,DiedDate,comparison,ALDate must be less than or equal to DiedDate,<=,,,,,,,
ALDate,HomeDate,comparison,ALDate must be less than or equal to HomeDate,<=,,,,,,,
DiedDate,PROMDATE,comparison,DiedDate must be greater than PROMDATE,>,,,,,,,
DiedDate,DOA,comparison,DiedDate must be greater than or equal to DOA,>=,,,,,,,
DiedDate,DOB,comparison,DiedDate must be greater than DOB,>,,,,,,,
PROMDATE,DiedDate,comparison,PROMDATE must be less than DiedDate (not specified in Jishan's spreadsheet. This is the opposite of the DiedDate gte PROMDATE check),<=,,,,,,,
