question_code,related_question_code,rule,error_message,operator,constant,set_operator,set,conditional_operator,conditional_constant,conditional_set_operator,conditional_set
PTL,Other_prob,const_implies_set,"If Other_prob is -1, PTL must be either 0 or -1",,,included,"[-1,0]",==,-1,,
PET,Other_prob,const_implies_set,"If Other_prob is -1, PET must be either 0 or -1",,,included,"[-1,0]",==,-1,,
APH,Other_prob,const_implies_set,"If Other_prob is -1, APH must be either 0 or -1",,,included,"[-1,0]",==,-1,,
IUGR,Other_prob,const_implies_set,"If Other_prob is -1, IUGR must be either 0 or -1",,,included,"[-1,0]",==,-1,,
F_distress,Other_prob,const_implies_set,"If Other_prob is -1, F_distress must be either 0 or -1",,,included,"[-1,0]",==,-1,,
Other,Other_prob,const_implies_set,"If Other_prob is -1, Other must be either 0 or -1",,,included,"[-1,0]",==,-1,,
ANDiag_,Other_prob,const_implies_set,"If Other_prob is -1, ANDiag_ must be either 0 or -1",,,included,"[-1,0]",==,-1,,
PROMDate,LastO2,comparison,PROMDate must be earlier than or equal to LastO2,<=,,,,,,,
PROMDate,Date_Linf1,comparison,PROMDate must be earlier than or equal to Date_Linf1,<=,,,,,,,
PROMDate,Date_Lviralinf1,comparison,PROMDate must be earlier than or equal to Date_Lviralinf1,<=,,,,,,,
PROMDate,DateSurg1,comparison,PROMDate must be earlier than or equal to DateSurg1,<=,,,,,,,
PROMDate,DateImmun,comparison,PROMDate must be earlier than DateImmun,<,,,,,,,
PROMDate,DateBWtg,comparison,PROMDate must be earlier than DateBWtg,<,,,,,,,
PROMDate,USd6wk,comparison,PROMDate must be earlier than USd6wk,<,,,,,,,
PROMDate,DiedDate,comparison,PROMDate must be earlier than DiedDate,<,,,,,,,
PROMDate,T_ferDate,comparison,PROMDate must be earlier than T_ferDate,<,,,,,
PROMDate,HomeDate,comparison,PROMDate must be earlier than HomeDate,<,,,,,
BrthOrd,Plurality,comparison,BrthOrd must be less than or equal to Plurality+1,<=,1,,,,
BrthOrd,Plurality,const_implies_const,"If Plurality is >0, BrthOrd must be >0",>,0,,,!=,0
DOB,LastO2,comparison,DOB must be earlier than or equal to LastO2,<=,,,,,
DOB,Date_Linf1,comparison,DOB must be earlier than or equal to Date_Linf1,<=,,,,,
DOB,Date_Lviralinf1,comparison,DOB must be earlier than or equal to Date_Lviralinf1,<=,,,,,
DOB,DateSurg1,comparison,DOB must be earlier than or equal to DateSurg1,<=,,,,,
DOB,DateImmun,comparison,DOB must be earlier than DateImmun,<,,,,,
DOB,DateBWtg,comparison,DOB must be earlier than DateBWtg,<,,,,,
DOB,USd6wk,comparison,DOB must be earlier than USd6wk,<,,,,,
DOB,DiedDate,comparison,DOB must be less than or equal to DiedDate,<=,,,,,
DOB,T_ferDate,comparison,DOB must be earlier than T_ferDate,<,,,,,
DOB,HomeDate,comparison,DOB must be less than or equal to HomeDate,<=,,,,,
DOA,LastO2,comparison,DOA must be earlier than or equal to LastO2,<=,,,,,
DOA,Date_Linf1,comparison,DOA must be earlier than or equal to Date_Linf1,<=,,,,,
DOA,Date_Lviralinf1,comparison,DOA must be earlier than or equal to Date_Lviralinf1,<=,,,,,
DOA,DateSurg1,comparison,DOA must be earlier than or equal to DateSurg1,<=,,,,,
DOA,DateImmun,comparison,DOA must be earlier than DateImmun,<,,,,,
DOA,DateBWtg,comparison,DOA must be earlier than DateBWtg,<,,,,,
DOA,USd6wk,comparison,DOA must be earlier than USd6wk,<,,,,,
DOA,DiedDate,comparison,DOA must be less than or equal to DiedDate,<=,,,,,
